filename,SI-SNR,PESQ,OVRL,SIG,BAK,P808_MOS
00002_1_fan_noise_level1_snr+0dB_noisy.wav,14.80,2.223,3.296,3.665,4.314,3.296
00004_1_fan_noise_level1_snr+10dB_noisy.wav,17.51,2.671,3.416,3.765,4.396,3.416
00001_1_fan_noise_level1_snr-5dB_noisy.wav,12.37,1.736,3.154,3.557,4.165,3.154
00003_1_fan_noise_level1_snr+5dB_noisy.wav,16.51,2.494,3.328,3.689,4.322,3.328
00005_1_fan_noise_level1_snr+15dB_noisy.wav,17.98,2.775,3.441,3.791,4.424,3.441
00006_1_fan_noise_level1_snr+20dB_noisy.wav,18.23,2.782,3.436,3.790,4.402,3.436
00007_1_fan_noise_level2_snr-5dB_noisy.wav,13.43,2.122,3.317,3.689,4.287,3.317
00008_1_fan_noise_level2_snr+0dB_noisy.wav,15.67,2.396,3.410,3.777,4.369,3.410
00009_1_fan_noise_level2_snr+5dB_noisy.wav,17.01,2.568,3.415,3.764,4.373,3.415
00010_1_fan_noise_level2_snr+10dB_noisy.wav,17.67,2.725,3.426,3.778,4.392,3.426
00011_1_fan_noise_level2_snr+15dB_noisy.wav,18.03,2.769,3.449,3.798,4.416,3.449
00012_1_fan_noise_level2_snr+20dB_noisy.wav,18.22,2.756,3.426,3.773,4.394,3.426
00013_1_clapping_snr-5dB_noisy.wav,9.50,1.468,2.580,2.925,3.989,2.580
00014_1_clapping_snr+0dB_noisy.wav,11.77,1.604,2.849,3.186,4.095,2.849
00015_1_clapping_snr+5dB_noisy.wav,13.78,1.808,3.046,3.373,4.254,3.046
00016_1_clapping_snr+10dB_noisy.wav,15.27,2.066,3.225,3.599,4.293,3.225
00017_1_clapping_snr+15dB_noisy.wav,16.44,2.317,3.280,3.657,4.321,3.280
00018_1_clapping_snr+20dB_noisy.wav,17.33,2.464,3.321,3.691,4.342,3.321
00019_1_door_knock_snr-5dB_noisy.wav,11.61,1.872,2.973,3.367,4.074,2.973
00020_1_door_knock_snr+0dB_noisy.wav,13.50,2.125,3.207,3.578,4.240,3.207
00021_1_door_knock_snr+5dB_noisy.wav,15.20,2.303,3.238,3.581,4.321,3.238
00022_1_door_knock_snr+10dB_noisy.wav,16.52,2.455,3.337,3.681,4.373,3.337
00023_1_door_knock_snr+15dB_noisy.wav,17.52,2.493,3.371,3.716,4.391,3.371
00024_1_door_knock_snr+20dB_noisy.wav,18.13,2.588,3.401,3.752,4.410,3.401
00025_1_keyboard_loud_snr-5dB_noisy.wav,5.49,1.197,2.018,2.413,3.523,2.018
00026_1_keyboard_loud_snr+0dB_noisy.wav,8.93,1.362,2.479,2.875,3.678,2.479
00027_1_keyboard_loud_snr+5dB_noisy.wav,11.98,1.563,2.881,3.248,4.023,2.881
00028_1_keyboard_loud_snr+10dB_noisy.wav,14.33,1.827,3.125,3.486,4.183,3.125
00029_1_keyboard_loud_snr+15dB_noisy.wav,16.18,2.082,3.278,3.646,4.312,3.278
00030_1_keyboard_loud_snr+20dB_noisy.wav,17.31,2.241,3.314,3.676,4.312,3.314
00031_1_keyboard_soft_snr-5dB_noisy.wav,6.63,1.550,2.795,3.189,3.990,2.795
00032_1_keyboard_soft_snr+0dB_noisy.wav,9.37,1.745,2.993,3.410,4.072,2.993
00033_1_keyboard_soft_snr+5dB_noisy.wav,12.21,1.998,3.108,3.557,4.067,3.108
00034_1_keyboard_soft_snr+10dB_noisy.wav,14.85,2.231,3.266,3.649,4.250,3.266
00035_1_keyboard_soft_snr+15dB_noisy.wav,16.78,2.450,3.354,3.717,4.365,3.354
00036_1_keyboard_soft_snr+20dB_noisy.wav,17.80,2.593,3.367,3.727,4.377,3.367
00037_2_fan_noise_level1_snr-5dB_noisy.wav,12.00,1.904,3.549,3.883,4.170,3.549
00038_2_fan_noise_level1_snr+0dB_noisy.wav,13.94,2.133,3.635,3.959,4.220,3.635
00039_2_fan_noise_level1_snr+5dB_noisy.wav,15.34,2.319,3.721,3.996,4.324,3.721
00040_2_fan_noise_level1_snr+10dB_noisy.wav,16.15,2.443,3.737,4.006,4.340,3.737
00041_2_fan_noise_level1_snr+15dB_noisy.wav,16.64,2.559,3.804,4.058,4.411,3.804
00042_2_fan_noise_level1_snr+20dB_noisy.wav,16.92,2.622,3.823,4.062,4.422,3.823
00043_2_fan_noise_level2_snr-5dB_noisy.wav,12.98,2.142,3.713,3.982,4.300,3.713
00044_2_fan_noise_level2_snr+0dB_noisy.wav,14.71,2.316,3.804,4.064,4.375,3.804
00045_2_fan_noise_level2_snr+5dB_noisy.wav,15.62,2.476,3.846,4.087,4.430,3.846
00046_2_fan_noise_level2_snr+10dB_noisy.wav,16.18,2.604,3.855,4.085,4.464,3.855
00047_2_fan_noise_level2_snr+15dB_noisy.wav,16.68,2.646,3.872,4.091,4.491,3.872
00048_2_fan_noise_level2_snr+20dB_noisy.wav,16.92,2.657,3.862,4.077,4.485,3.862
00049_2_clapping_snr-5dB_noisy.wav,9.82,1.571,3.274,3.561,4.160,3.274
00050_2_clapping_snr+0dB_noisy.wav,12.02,1.767,3.522,3.777,4.271,3.522
00051_2_clapping_snr+5dB_noisy.wav,13.71,1.942,3.659,3.914,4.321,3.659
00052_2_clapping_snr+10dB_noisy.wav,15.04,2.233,3.739,3.981,4.385,3.739
00053_2_clapping_snr+15dB_noisy.wav,15.87,2.425,3.822,4.044,4.464,3.822
